"","STATE","Year","State Tax per pack in Dollars","Gross Cigarette Tax Revenue in Dollars","Cigarette Consumption (Pack Sales Per Capita) in Pack","Federal and State tax as a Percentage of Retail Price in Percentage","Federal and State Tax per pack in Dollars","Average Cost per pack in Dollars"
"2456","WV",1975,0.12,26495000,123.2,41.3,0.2,0.484
"2457","WV",1976,0.12,28102000,129.7,40.9,0.2,0.489
"2458","WV",1977,0.12,29284000,133.9,37.1,0.2,0.539
"2459","WV",1978,0.17,30369000,131.6,40.1,0.25,0.624
"2460","WV",1979,0.17,38961000,122.1,38.9,0.25,0.643
"2461","WV",1980,0.17,39103000,122.3,37.8,0.25,0.662
"2462","WV",1981,0.17,39947000,120.5,33.3,0.25,0.751
"2463","WV",1982,0.17,39766000,119.8,28.3,0.25,0.882
"2464","WV",1983,0.17,38299000,115.7,34,0.33,0.972
"2465","WV",1984,0.17,37546000,111.9,32,0.33,1.032
"2466","WV",1985,0.17,36584000,109.1,31.7,0.33,1.041
"2467","WV",1986,0.17,36898000,112.1,29.3,0.33,1.128
"2468","WV",1987,0.17,35963000,107.5,27,0.33,1.222
"2469","WV",1988,0.17,35897000,109.1,25.2,0.33,1.312
"2470","WV",1989,0.17,33936000,104,23,0.33,1.429
"2471","WV",1990,0.17,33910000,104.1,22.9,0.33,1.441
"2472","WV",1991,0.17,33678000,100.1,23.4,0.37,1.582
"2473","WV",1992,0.17,29666000,98,22.3,0.37,1.662
"2474","WV",1993,0.17,34588000,111,27.3,0.41,1.501
"2475","WV",1994,0.17,31604000,104.2,26.1,0.41,1.568
"2476","WV",1995,0.17,35763000,115.8,26.1,0.41,1.573
"2477","WV",1996,0.17,35120000,112.7,25.5,0.41,1.609
"2478","WV",1997,0.17,35549000,114.5,24,0.41,1.711
"2479","WV",1998,0.17,35562000,114.6,21.3,0.41,1.924
"2480","WV",1999,0.17,34713000,112.4,16.2,0.41,2.537
"2481","WV",2000,0.17,33766000,107.9,18.5,0.51,2.758
"2482","WV",2001,0.17,33480000,109.4,17.3,0.51,2.942
"2483","WV",2002,0.17,33921851,110.7,18.4,0.56,3.046
"2484","WV",2003,0.55,44987757,122.2,27.1,0.94,3.463
"2485","WV",2004,0.55,100828843,104,27.9,0.94,3.364
"2486","WV",2005,0.55,102121525,102.4,27.7,0.94,3.394
"2487","WV",2006,0.55,112116409,112.2,27,0.94,3.478
"2488","WV",2007,0.55,110537416,110.5,26.4,0.94,3.567
"2489","WV",2008,0.55,112409000,112.8,25.4,0.94,3.704
"2490","WV",2009,0.55,115566000,115.8,34.6,1.56,4.515
"2491","WV",2010,0.55,113101478,113,34,1.56,4.588
"2492","WV",2011,0.55,109958145,107.9,33.7,1.56,4.63
"2493","WV",2012,0.55,107151660,105,32.8,1.56,4.752
"2494","WV",2013,0.55,105256965,103.1,32.3,1.56,4.83
"2495","WV",2014,0.55,99334703,97.4,32,1.56,4.868
"2496","WV",2015,0.55,98984095,97.3,31.8,1.56,4.9
"2497","WV",2016,0.55,96872325,95.5,39,2.21,5.668
"2498","WV",2017,1.2,180702900,82.2,37.6,2.21,5.88
"2499","WV",2018,1.2,165050460,75.7,36.6,2.21,6.035
"2500","WV",2019,1.2,162543400,75,35.4,2.21,6.237
"2501","WY",1970,0.06,3381000,132.2,46.5,0.16,0.344
"2502","WY",1971,0.08,3517000,131.7,46.5,0.16,0.344
"2503","WY",1972,0.08,3806000,140,46.5,0.16,0.344
"2504","WY",1973,0.08,3894000,141.2,44.7,0.16,0.358
"2505","WY",1974,0.08,4117000,145.8,41.5,0.16,0.386
"2506","WY",1975,0.08,4614000,160.7,37.6,0.16,0.426
"2507","WY",1976,0.08,4834000,161.5,36.9,0.16,0.434
"2508","WY",1977,0.08,5003000,160.4,32.1,0.16,0.498
"2509","WY",1978,0.08,5205000,160.3,30.9,0.16,0.517
"2510","WY",1979,0.08,5720000,168.6,28.9,0.16,0.553
"2511","WY",1980,0.08,5691000,158.1,28.6,0.16,0.559
"2512","WY",1981,0.08,6146000,163.1,24.9,0.16,0.643
"2513","WY",1982,0.08,6208000,157.7,22.5,0.16,0.71
"2514","WY",1983,0.08,5671000,141.2,29.4,0.24,0.817
"2515","WY",1984,0.08,5336000,128.9,27.5,0.24,0.874
"2516","WY",1985,0.08,5178000,125.7,24.5,0.24,0.978
"2517","WY",1986,0.08,5071000,124.8,23.4,0.24,1.027
"2518","WY",1987,0.08,4562000,110.4,21.2,0.24,1.129
"2519","WY",1988,0.08,4577000,114.3,20.2,0.24,1.186
"2520","WY",1989,0.08,4373000,111.4,21.6,0.28,1.295
"2521","WY",1990,0.08,5701000,96.9,22,0.28,1.27
"2522","WY",1991,0.12,5878000,109.1,20.6,0.32,1.551
"2523","WY",1992,0.12,5971000,110.8,19.2,0.32,1.669
"2524","WY",1993,0.12,5842000,108.4,24.4,0.36,1.474
"2525","WY",1994,0.12,6033000,111.2,23.5,0.36,1.53
"2526","WY",1995,0.12,6445000,115,22.2,0.36,1.625
"2527","WY",1996,0.12,6344000,110.3,21.9,0.36,1.641
"2528","WY",1997,0.12,6331000,108.8,21.3,0.36,1.688
"2529","WY",1998,0.12,6116000,102.9,19,0.36,1.896
"2530","WY",1999,0.12,6037000,104.8,13.5,0.36,2.671
"2531","WY",2000,0.12,5704464,90.5,15.8,0.46,2.912
"2532","WY",2001,0.12,5507400,92.9,14.8,0.46,3.103
"2533","WY",2002,0.12,5369365,93.2,16.2,0.51,3.139
"2534","WY",2003,0.12,6850800,115.5,27.8,0.99,3.556
"2535","WY",2004,0.6,15680411,47.5,27.3,0.99,3.621
"2536","WY",2005,0.6,23170752,76.4,27.1,0.99,3.65
"2537","WY",2006,0.6,24084000,78.8,26.6,0.99,3.724
"2538","WY",2007,0.6,25632000,83,26.5,0.99,3.74
"2539","WY",2008,0.6,24786000,79,25.5,0.99,3.876
"2540","WY",2009,0.6,24459794,76.7,34.4,1.61,4.681
"2541","WY",2010,0.6,21445910,65.7,33,1.61,4.885
"2542","WY",2011,0.6,23884954,70.5,33.1,1.61,4.857
"2543","WY",2012,0.6,20917040,61.5,32.9,1.61,4.896
"2544","WY",2013,0.6,21036314,60.8,32.1,1.61,5.018
"2545","WY",2014,0.6,19739879,56.4,31.6,1.61,5.1
"2546","WY",2015,0.6,20549408,58.6,31.2,1.61,5.168
"2547","WY",2016,0.6,19196922,54.6,30.6,1.61,5.264
"2548","WY",2017,0.6,18353556,52.4,30.2,1.61,5.327
"2549","WY",2018,0.6,17523389,50.4,29.5,1.61,5.456
"2550","WY",2019,0.6,17125915,49.4,28.3,1.61,5.679
